,index,role,opera,artist,date,CID,artist_popularity,spotify_id
0,15912,Cleopatra,Giulio Cesare,Natalie Dessay,2013-05-10,['[Met Performance] 355010'],37,4jCfIA4UDHUWpc45H7A4ud
1,15875,Cleopatra,Giulio Cesare,Natalie Dessay,2013-05-07,['[Met Performance] 355002'],37,4jCfIA4UDHUWpc45H7A4ud
2,15817,Cleopatra,Giulio Cesare,Natalie Dessay,2013-05-03,['[Met Performance] 354998'],37,4jCfIA4UDHUWpc45H7A4ud
3,15778,Cleopatra,Giulio Cesare,Natalie Dessay,2013-04-30,['[Met Performance] 354993'],37,4jCfIA4UDHUWpc45H7A4ud
4,15744,Cleopatra,Giulio Cesare,Natalie Dessay,2013-04-27,['[Met Performance] 354987'],37,4jCfIA4UDHUWpc45H7A4ud
5,15675,Cleopatra,Giulio Cesare,Natalie Dessay,2013-04-22,['[Met Performance] 354975'],37,4jCfIA4UDHUWpc45H7A4ud
6,15641,Cleopatra,Giulio Cesare,Natalie Dessay,2013-04-19,['[Met Performance] 354971'],37,4jCfIA4UDHUWpc45H7A4ud
7,15587,Cleopatra,Giulio Cesare,Natalie Dessay,2013-04-12,['[Met Performance] 354958'],37,4jCfIA4UDHUWpc45H7A4ud
8,15528,Cleopatra,Giulio Cesare,Natalie Dessay,2013-04-04,['[Met Performance] 354946'],37,4jCfIA4UDHUWpc45H7A4ud
9,13336,Violetta,La Traviata,Natalie Dessay,2012-04-28,['[Met Performance] 354502'],37,4jCfIA4UDHUWpc45H7A4ud
10,13282,Violetta,La Traviata,Natalie Dessay,2012-04-25,['[Met Performance] 354496'],37,4jCfIA4UDHUWpc45H7A4ud
11,13206,Violetta,La Traviata,Natalie Dessay,2012-04-18,['[Met Performance] 354482'],37,4jCfIA4UDHUWpc45H7A4ud
12,13167,Violetta,La Traviata,Natalie Dessay,2012-04-14,['[Met Performance] 354472'],37,4jCfIA4UDHUWpc45H7A4ud
13,13126,Violetta,La Traviata,Natalie Dessay,2012-04-10,['[Met Performance] 354467'],37,4jCfIA4UDHUWpc45H7A4ud
14,10530,Lucia,Lucia di Lammermoor,Natalie Dessay,2011-03-19,['[Met Performance] 353886'],37,4jCfIA4UDHUWpc45H7A4ud
15,10483,Lucia,Lucia di Lammermoor,Natalie Dessay,2011-03-16,['[Met Performance] 353881'],37,4jCfIA4UDHUWpc45H7A4ud
16,10446,Lucia,Lucia di Lammermoor,Natalie Dessay,2011-03-12,['[Met Performance] 353871'],37,4jCfIA4UDHUWpc45H7A4ud
17,10367,Lucia,Lucia di Lammermoor,Natalie Dessay,2011-03-08,['[Met Performance] 353861'],37,4jCfIA4UDHUWpc45H7A4ud
18,10326,Lucia,Lucia di Lammermoor,Natalie Dessay,2011-03-04,['[Met Performance] 353852'],37,4jCfIA4UDHUWpc45H7A4ud
19,10285,Lucia,Lucia di Lammermoor,Natalie Dessay,2011-02-28,['[Met Performance] 353843'],37,4jCfIA4UDHUWpc45H7A4ud
20,10244,Lucia,Lucia di Lammermoor,Natalie Dessay,2011-02-24,['[Met Performance] 353835'],37,4jCfIA4UDHUWpc45H7A4ud
21,4925,Amina,La Sonnambula,Natalie Dessay,2009-04-03,['[Met Performance] 352983'],37,4jCfIA4UDHUWpc45H7A4ud
22,4874,Amina,La Sonnambula,Natalie Dessay,2009-03-28,['[Met Performance] 352969'],37,4jCfIA4UDHUWpc45H7A4ud
23,4826,Amina,La Sonnambula,Natalie Dessay,2009-03-24,['[Met Performance] 352962'],37,4jCfIA4UDHUWpc45H7A4ud
24,4795,Amina,La Sonnambula,Natalie Dessay,2009-03-21,['[Met Performance] 352956'],37,4jCfIA4UDHUWpc45H7A4ud
25,4757,Amina,La Sonnambula,Natalie Dessay,2009-03-18,['[Met Performance] 352949'],37,4jCfIA4UDHUWpc45H7A4ud
26,4719,Amina,La Sonnambula,Natalie Dessay,2009-03-14,['[Met Performance] 352939'],37,4jCfIA4UDHUWpc45H7A4ud
27,4691,Amina,La Sonnambula,Natalie Dessay,2009-03-11,['[Met Performance] 352928'],37,4jCfIA4UDHUWpc45H7A4ud
28,4639,Amina,La Sonnambula,Natalie Dessay,2009-03-06,['[Met Performance] 352918'],37,4jCfIA4UDHUWpc45H7A4ud
29,4607,Amina,La Sonnambula,Natalie Dessay,2009-03-02,['[Met Performance] 352908'],37,4jCfIA4UDHUWpc45H7A4ud
30,2880,Marie,La Fille du Régiment,Natalie Dessay,2008-05-16,['[Met Performance] 352551'],37,4jCfIA4UDHUWpc45H7A4ud
31,2838,Marie,La Fille du Régiment,Natalie Dessay,2008-05-12,['[Met Performance] 352544'],37,4jCfIA4UDHUWpc45H7A4ud
32,2796,Marie,La Fille du Régiment,Natalie Dessay,2008-05-08,['[Met Performance] 352536'],37,4jCfIA4UDHUWpc45H7A4ud
33,2773,Marie,La Fille du Régiment,Natalie Dessay,2008-05-05,['[Met Performance] 352527'],37,4jCfIA4UDHUWpc45H7A4ud
34,2750,Marie,La Fille du Régiment,Natalie Dessay,2008-05-02,['[Met Performance] 352523'],37,4jCfIA4UDHUWpc45H7A4ud
35,2725,Marie,La Fille du Régiment,Natalie Dessay,2008-04-29,['[Met Performance] 352512'],37,4jCfIA4UDHUWpc45H7A4ud
36,2706,Marie,La Fille du Régiment,Natalie Dessay,2008-04-26,['[Met Performance] 352509'],37,4jCfIA4UDHUWpc45H7A4ud
37,2662,Marie,La Fille du Régiment,Natalie Dessay,2008-04-21,['[Met Performance] 352500'],37,4jCfIA4UDHUWpc45H7A4ud
38,2231,Lucia,Lucia di Lammermoor,Natalie Dessay,2008-03-13,['[Met Performance] 352418'],37,4jCfIA4UDHUWpc45H7A4ud
39,2182,Lucia,Lucia di Lammermoor,Natalie Dessay,2008-03-08,['[Met Performance] 352406'],37,4jCfIA4UDHUWpc45H7A4ud
40,2151,Lucia,Lucia di Lammermoor,Natalie Dessay,2008-03-05,['[Met Performance] 352401'],37,4jCfIA4UDHUWpc45H7A4ud
41,196,Lucia,Lucia di Lammermoor,Natalie Dessay,2007-10-13,['[Met Performance] 352106'],37,4jCfIA4UDHUWpc45H7A4ud
42,135,Lucia,Lucia di Lammermoor,Natalie Dessay,2007-10-09,['[Met Performance] 352096'],37,4jCfIA4UDHUWpc45H7A4ud
43,86,Lucia,Lucia di Lammermoor,Natalie Dessay,2007-10-05,['[Met Performance] 352086'],37,4jCfIA4UDHUWpc45H7A4ud
44,46,Lucia,Lucia di Lammermoor,Natalie Dessay,2007-10-01,['[Met Performance] 352075'],37,4jCfIA4UDHUWpc45H7A4ud
45,19,Lucia,Lucia di Lammermoor,Natalie Dessay,2007-09-27,['[Met Performance] 352069'],37,4jCfIA4UDHUWpc45H7A4ud
46,0,Lucia,Lucia di Lammermoor,Natalie Dessay,2007-09-24,['[Met Performance] 352065'],37,4jCfIA4UDHUWpc45H7A4ud
47,23641,Manrico,Il Trovatore,Marcello Giordani,2016-02-13,['[Met Performance] 356305'],3,2ZXgxAdBx9s2CoxdDHIuiu
48,23567,Manrico,Il Trovatore,Marcello Giordani,2016-02-09,['[Met Performance] 356303'],3,2ZXgxAdBx9s2CoxdDHIuiu
49,23552,Manrico,Il Trovatore,Marcello Giordani,2016-02-06,['[Met Performance] 356296'],3,2ZXgxAdBx9s2CoxdDHIuiu
50,22785,Cavaradossi,Tosca,Marcello Giordani,2015-11-21,['[Met Performance] 356138'],3,2ZXgxAdBx9s2CoxdDHIuiu
51,22736,Cavaradossi,Tosca,Marcello Giordani,2015-11-18,['[Met Performance] 356135'],3,2ZXgxAdBx9s2CoxdDHIuiu
52,22687,Cavaradossi,Tosca,Marcello Giordani,2015-11-14,['[Met Performance] 356122'],3,2ZXgxAdBx9s2CoxdDHIuiu
53,22625,Cavaradossi,Tosca,Marcello Giordani,2015-11-11,['[Met Performance] 356119'],3,2ZXgxAdBx9s2CoxdDHIuiu
54,22550,Cavaradossi,Tosca,Marcello Giordani,2015-11-06,['[Met Performance] 356108'],3,2ZXgxAdBx9s2CoxdDHIuiu
55,20572,Radamès,Aida,Marcello Giordani,2015-01-10,['[Met Performance] 355736'],3,2ZXgxAdBx9s2CoxdDHIuiu
56,20497,Radamès,Aida,Marcello Giordani,2015-01-05,['[Met Performance] 355729'],3,2ZXgxAdBx9s2CoxdDHIuiu
57,20398,Radamès,Aida,Marcello Giordani,2014-12-29,['[Met Performance] 355716'],3,2ZXgxAdBx9s2CoxdDHIuiu
58,20369,Radamès,Aida,Marcello Giordani,2014-12-26,['[Met Performance] 355711'],3,2ZXgxAdBx9s2CoxdDHIuiu
59,19918,Radamès,Aida,Marcello Giordani,2014-11-19,['[Met Performance] 355637'],3,2ZXgxAdBx9s2CoxdDHIuiu
60,19867,Radamès,Aida,Marcello Giordani,2014-11-15,['[Met Performance] 355627'],3,2ZXgxAdBx9s2CoxdDHIuiu
61,19826,Radamès,Aida,Marcello Giordani,2014-11-12,['[Met Performance] 355621'],3,2ZXgxAdBx9s2CoxdDHIuiu
62,19751,Radamès,Aida,Marcello Giordani,2014-11-07,['[Met Performance] 355612'],3,2ZXgxAdBx9s2CoxdDHIuiu
63,19731,Radamès,Aida,Marcello Giordani,2014-11-04,['[Met Performance] 355608'],3,2ZXgxAdBx9s2CoxdDHIuiu
64,19659,Radamès,Aida,Marcello Giordani,2014-10-30,['[Met Performance] 355599'],3,2ZXgxAdBx9s2CoxdDHIuiu
65,17487,Cavaradossi,Tosca,Marcello Giordani,2013-12-28,['[Met Performance] 355217'],3,2ZXgxAdBx9s2CoxdDHIuiu
66,17399,Cavaradossi,Tosca,Marcello Giordani,2013-12-23,['[Met Performance] 355208'],3,2ZXgxAdBx9s2CoxdDHIuiu
67,17357,Cavaradossi,Tosca,Marcello Giordani,2013-12-20,['[Met Performance] 355204'],3,2ZXgxAdBx9s2CoxdDHIuiu
68,17306,Cavaradossi,Tosca,Marcello Giordani,2013-12-14,['[Met Performance] 355190'],3,2ZXgxAdBx9s2CoxdDHIuiu
69,17249,Cavaradossi,Tosca,Marcello Giordani,2013-12-11,['[Met Performance] 355183'],3,2ZXgxAdBx9s2CoxdDHIuiu
70,15412,Paolo,Francesca da Rimini,Marcello Giordani,2013-03-22,['[Met Performance] 354926'],3,2ZXgxAdBx9s2CoxdDHIuiu
71,15380,Paolo,Francesca da Rimini,Marcello Giordani,2013-03-19,['[Met Performance] 354917'],3,2ZXgxAdBx9s2CoxdDHIuiu
72,15351,Paolo,Francesca da Rimini,Marcello Giordani,2013-03-16,['[Met Performance] 354913'],3,2ZXgxAdBx9s2CoxdDHIuiu
73,15277,Paolo,Francesca da Rimini,Marcello Giordani,2013-03-12,['[Met Performance] 354904'],3,2ZXgxAdBx9s2CoxdDHIuiu
74,15252,Paolo,Francesca da Rimini,Marcello Giordani,2013-03-09,['[Met Performance] 354896'],3,2ZXgxAdBx9s2CoxdDHIuiu
75,15174,Paolo,Francesca da Rimini,Marcello Giordani,2013-03-04,['[Met Performance] 354888'],3,2ZXgxAdBx9s2CoxdDHIuiu
76,14370,Aeneas,Les Troyens,Marcello Giordani,2012-12-21,['[Met Performance] 354735'],3,2ZXgxAdBx9s2CoxdDHIuiu
77,14355,Aeneas,Les Troyens,Marcello Giordani,2012-12-21,['[Met Performance] 354735'],3,2ZXgxAdBx9s2CoxdDHIuiu
78,14315,Aeneas,Les Troyens,Marcello Giordani,2012-12-17,['[Met Performance] 354721'],3,2ZXgxAdBx9s2CoxdDHIuiu
79,14300,Aeneas,Les Troyens,Marcello Giordani,2012-12-17,['[Met Performance] 354721'],3,2ZXgxAdBx9s2CoxdDHIuiu
80,14260,Aeneas,Les Troyens,Marcello Giordani,2012-12-13,['[Met Performance] 354717'],3,2ZXgxAdBx9s2CoxdDHIuiu
81,14245,Aeneas,Les Troyens,Marcello Giordani,2012-12-13,['[Met Performance] 354717'],3,2ZXgxAdBx9s2CoxdDHIuiu
82,13928,Calàf,Turandot,Marcello Giordani,2012-11-09,['[Met Performance] 354644'],3,2ZXgxAdBx9s2CoxdDHIuiu
83,13880,Calàf,Turandot,Marcello Giordani,2012-11-05,['[Met Performance] 354632'],3,2ZXgxAdBx9s2CoxdDHIuiu
84,13842,Calàf,Turandot,Marcello Giordani,2012-11-02,['[Met Performance] 354619'],3,2ZXgxAdBx9s2CoxdDHIuiu
85,12763,Radamès,Aida,Marcello Giordani,2012-03-03,['[Met Performance] 354395'],3,2ZXgxAdBx9s2CoxdDHIuiu
86,12716,Radamès,Aida,Marcello Giordani,2012-02-28,['[Met Performance] 354388'],3,2ZXgxAdBx9s2CoxdDHIuiu
87,12678,Ernani,Ernani,Marcello Giordani,2012-02-25,['[Met Performance] 354380'],3,2ZXgxAdBx9s2CoxdDHIuiu
88,12615,Ernani,Ernani,Marcello Giordani,2012-02-18,['[Met Performance] 354367'],3,2ZXgxAdBx9s2CoxdDHIuiu
89,12576,Ernani,Ernani,Marcello Giordani,2012-02-14,['[Met Performance] 354356'],3,2ZXgxAdBx9s2CoxdDHIuiu
90,9751,Dick Johnson,La Fanciulla del West,Marcello Giordani,2011-01-08,['[Met Performance] 353735'],3,2ZXgxAdBx9s2CoxdDHIuiu
91,9665,Dick Johnson,La Fanciulla del West,Marcello Giordani,2011-01-03,['[Met Performance] 353722'],3,2ZXgxAdBx9s2CoxdDHIuiu
92,9582,Dick Johnson,La Fanciulla del West,Marcello Giordani,2010-12-30,['[Met Performance] 353717'],3,2ZXgxAdBx9s2CoxdDHIuiu
93,9442,Dick Johnson,La Fanciulla del West,Marcello Giordani,2010-12-22,['[Met Performance] 353700'],3,2ZXgxAdBx9s2CoxdDHIuiu
94,9394,Dick Johnson,La Fanciulla del West,Marcello Giordani,2010-12-18,['[Met Performance] 353690'],3,2ZXgxAdBx9s2CoxdDHIuiu
95,9332,Dick Johnson,La Fanciulla del West,Marcello Giordani,2010-12-14,['[Met Performance] 353682'],3,2ZXgxAdBx9s2CoxdDHIuiu
96,9284,Dick Johnson,La Fanciulla del West,Marcello Giordani,2010-12-10,['[Met Performance] 353675'],3,2ZXgxAdBx9s2CoxdDHIuiu
97,9226,Dick Johnson,La Fanciulla del West,Marcello Giordani,2010-12-06,['[Met Performance] 353661'],3,2ZXgxAdBx9s2CoxdDHIuiu
98,8374,Cavaradossi,Tosca,Marcello Giordani,2010-05-13,['[Met Performance] 353548'],3,2ZXgxAdBx9s2CoxdDHIuiu
99,8321,Cavaradossi,Tosca,Marcello Giordani,2010-05-08,['[Met Performance] 353540'],3,2ZXgxAdBx9s2CoxdDHIuiu
100,8268,Cavaradossi,Tosca,Marcello Giordani,2010-05-05,['[Met Performance] 353534'],3,2ZXgxAdBx9s2CoxdDHIuiu
101,8213,Cavaradossi,Tosca,Marcello Giordani,2010-04-29,['[Met Performance] 353520'],3,2ZXgxAdBx9s2CoxdDHIuiu
102,7167,Gabriele Adorno,Simon Boccanegra,Marcello Giordani,2010-02-06,['[Met Performance] 353351'],3,2ZXgxAdBx9s2CoxdDHIuiu
103,7122,Gabriele Adorno,Simon Boccanegra,Marcello Giordani,2010-02-02,['[Met Performance] 353345'],3,2ZXgxAdBx9s2CoxdDHIuiu
104,7087,Gabriele Adorno,Simon Boccanegra,Marcello Giordani,2010-01-29,['[Met Performance] 353334'],3,2ZXgxAdBx9s2CoxdDHIuiu
105,7048,Gabriele Adorno,Simon Boccanegra,Marcello Giordani,2010-01-25,['[Met Performance] 353325'],3,2ZXgxAdBx9s2CoxdDHIuiu
106,7019,Gabriele Adorno,Simon Boccanegra,Marcello Giordani,2010-01-22,['[Met Performance] 353322'],3,2ZXgxAdBx9s2CoxdDHIuiu
107,6980,Gabriele Adorno,Simon Boccanegra,Marcello Giordani,2010-01-18,['[Met Performance] 353312'],3,2ZXgxAdBx9s2CoxdDHIuiu
108,5867,Calàf,Turandot,Marcello Giordani,2009-11-14,['[Met Performance] 353174'],3,2ZXgxAdBx9s2CoxdDHIuiu
109,5830,Calàf,Turandot,Marcello Giordani,2009-11-10,['[Met Performance] 353166'],3,2ZXgxAdBx9s2CoxdDHIuiu
110,5812,Calàf,Turandot,Marcello Giordani,2009-11-07,['[Met Performance] 353162'],3,2ZXgxAdBx9s2CoxdDHIuiu
111,5768,Calàf,Turandot,Marcello Giordani,2009-11-03,['[Met Performance] 353153'],3,2ZXgxAdBx9s2CoxdDHIuiu
112,5746,Calàf,Turandot,Marcello Giordani,2009-10-31,['[Met Performance] 353151'],3,2ZXgxAdBx9s2CoxdDHIuiu
113,5711,Calàf,Turandot,Marcello Giordani,2009-10-28,['[Met Performance] 353144'],3,2ZXgxAdBx9s2CoxdDHIuiu
114,4656,Pinkerton,Madama Butterfly,Marcello Giordani,2009-03-07,['[Met Performance] 352920'],3,2ZXgxAdBx9s2CoxdDHIuiu
115,4615,Pinkerton,Madama Butterfly,Marcello Giordani,2009-03-03,['[Met Performance] 352909'],3,2ZXgxAdBx9s2CoxdDHIuiu
116,4567,Pinkerton,Madama Butterfly,Marcello Giordani,2009-02-27,['[Met Performance] 352905'],3,2ZXgxAdBx9s2CoxdDHIuiu
117,4427,Maurizio,Adriana Lecouvreur,Marcello Giordani,2009-02-17,['[Met Performance] 352879'],3,2ZXgxAdBx9s2CoxdDHIuiu
118,3642,Faust,La Damnation de Faust,Marcello Giordani,2008-12-04,['[Met Performance] 352730'],3,2ZXgxAdBx9s2CoxdDHIuiu
119,3585,Faust,La Damnation de Faust,Marcello Giordani,2008-11-29,['[Met Performance] 352718'],3,2ZXgxAdBx9s2CoxdDHIuiu
120,3572,Faust,La Damnation de Faust,Marcello Giordani,2008-11-25,['[Met Performance] 352716'],3,2ZXgxAdBx9s2CoxdDHIuiu
121,3539,Pinkerton,Madama Butterfly,Marcello Giordani,2008-11-22,['[Met Performance] 352707'],3,2ZXgxAdBx9s2CoxdDHIuiu
122,3534,Faust,La Damnation de Faust,Marcello Giordani,2008-11-22,['[Met Performance] 352706'],3,2ZXgxAdBx9s2CoxdDHIuiu
123,3490,Pinkerton,Madama Butterfly,Marcello Giordani,2008-11-19,['[Met Performance] 352700'],3,2ZXgxAdBx9s2CoxdDHIuiu
124,3485,Faust,La Damnation de Faust,Marcello Giordani,2008-11-18,['[Met Performance] 352695'],3,2ZXgxAdBx9s2CoxdDHIuiu
125,3470,Pinkerton,Madama Butterfly,Marcello Giordani,2008-11-15,['[Met Performance] 352694'],3,2ZXgxAdBx9s2CoxdDHIuiu
126,3454,Faust,La Damnation de Faust,Marcello Giordani,2008-11-14,['[Met Performance] 352692'],3,2ZXgxAdBx9s2CoxdDHIuiu
127,3420,Pinkerton,Madama Butterfly,Marcello Giordani,2008-11-11,['[Met Performance] 352687'],3,2ZXgxAdBx9s2CoxdDHIuiu
128,3415,Faust,La Damnation de Faust,Marcello Giordani,2008-11-10,['[Met Performance] 352685'],3,2ZXgxAdBx9s2CoxdDHIuiu
129,3387,Faust,La Damnation de Faust,Marcello Giordani,2008-11-07,['[Met Performance] 352680'],3,2ZXgxAdBx9s2CoxdDHIuiu
130,2548,Ernani,Ernani,Marcello Giordani,2008-04-10,['[Met Performance] 352475'],3,2ZXgxAdBx9s2CoxdDHIuiu
131,2458,Ernani,Ernani,Marcello Giordani,2008-04-02,['[Met Performance] 352460'],3,2ZXgxAdBx9s2CoxdDHIuiu
132,2402,Ernani,Ernani,Marcello Giordani,2008-03-29,['[Met Performance] 352450'],3,2ZXgxAdBx9s2CoxdDHIuiu
133,2359,Ernani,Ernani,Marcello Giordani,2008-03-26,['[Met Performance] 352444'],3,2ZXgxAdBx9s2CoxdDHIuiu
134,2311,Ernani,Ernani,Marcello Giordani,2008-03-21,['[Met Performance] 352433'],3,2ZXgxAdBx9s2CoxdDHIuiu
135,2272,Ernani,Ernani,Marcello Giordani,2008-03-17,['[Met Performance] 352424'],3,2ZXgxAdBx9s2CoxdDHIuiu
136,2046,Des Grieux,Manon Lescaut,Marcello Giordani,2008-02-23,['[Met Performance] 352375'],3,2ZXgxAdBx9s2CoxdDHIuiu
137,2003,Des Grieux,Manon Lescaut,Marcello Giordani,2008-02-20,['[Met Performance] 352369'],3,2ZXgxAdBx9s2CoxdDHIuiu
138,1969,Des Grieux,Manon Lescaut,Marcello Giordani,2008-02-16,['[Met Performance] 352355'],3,2ZXgxAdBx9s2CoxdDHIuiu
139,1916,Des Grieux,Manon Lescaut,Marcello Giordani,2008-02-12,['[Met Performance] 352350'],3,2ZXgxAdBx9s2CoxdDHIuiu
140,1892,Des Grieux,Manon Lescaut,Marcello Giordani,2008-02-09,['[Met Performance] 352344'],3,2ZXgxAdBx9s2CoxdDHIuiu
141,1830,Des Grieux,Manon Lescaut,Marcello Giordani,2008-02-05,['[Met Performance] 352334'],3,2ZXgxAdBx9s2CoxdDHIuiu
142,1782,Des Grieux,Manon Lescaut,Marcello Giordani,2008-02-01,['[Met Performance] 352327'],3,2ZXgxAdBx9s2CoxdDHIuiu
143,1750,Des Grieux,Manon Lescaut,Marcello Giordani,2008-01-29,['[Met Performance] 352319'],3,2ZXgxAdBx9s2CoxdDHIuiu
144,272,Edgardo,Lucia di Lammermoor,Marcello Giordani,2007-10-20,['[Met Performance] 352121'],3,2ZXgxAdBx9s2CoxdDHIuiu
145,228,Edgardo,Lucia di Lammermoor,Marcello Giordani,2007-10-17,['[Met Performance] 352115'],3,2ZXgxAdBx9s2CoxdDHIuiu
146,204,Pinkerton,Madama Butterfly,Marcello Giordani,2007-10-15,['[Met Performance] 352108'],3,2ZXgxAdBx9s2CoxdDHIuiu
147,197,Edgardo,Lucia di Lammermoor,Marcello Giordani,2007-10-13,['[Met Performance] 352106'],3,2ZXgxAdBx9s2CoxdDHIuiu
148,136,Edgardo,Lucia di Lammermoor,Marcello Giordani,2007-10-09,['[Met Performance] 352096'],3,2ZXgxAdBx9s2CoxdDHIuiu
149,107,Roméo,Roméo et Juliette,Marcello Giordani,2007-10-06,['[Met Performance] 352088'],3,2ZXgxAdBx9s2CoxdDHIuiu
150,87,Edgardo,Lucia di Lammermoor,Marcello Giordani,2007-10-05,['[Met Performance] 352086'],3,2ZXgxAdBx9s2CoxdDHIuiu
151,47,Edgardo,Lucia di Lammermoor,Marcello Giordani,2007-10-01,['[Met Performance] 352075'],3,2ZXgxAdBx9s2CoxdDHIuiu
152,20,Edgardo,Lucia di Lammermoor,Marcello Giordani,2007-09-27,['[Met Performance] 352069'],3,2ZXgxAdBx9s2CoxdDHIuiu
153,1,Edgardo,Lucia di Lammermoor,Marcello Giordani,2007-09-24,['[Met Performance] 352065'],3,2ZXgxAdBx9s2CoxdDHIuiu
154,28852,Count Almaviva,Le Nozze di Figaro,Mariusz Kwiecien,2018-01-10,['[Met Performance] 356847'],5,4FDu7nqjF1HhsTjxRThFUg
155,28777,Count Almaviva,Le Nozze di Figaro,Mariusz Kwiecien,2018-01-04,['[Met Performance] 356841'],5,4FDu7nqjF1HhsTjxRThFUg
156,28685,Count Almaviva,Le Nozze di Figaro,Mariusz Kwiecien,2017-12-29,['[Met Performance] 356834'],5,4FDu7nqjF1HhsTjxRThFUg
157,27168,Don Giovanni,Don Giovanni,Mariusz Kwiecien,2017-05-06,['[Met Performance] 356717'],5,4FDu7nqjF1HhsTjxRThFUg
158,27039,Don Giovanni,Don Giovanni,Mariusz Kwiecien,2017-04-29,['[Met Performance] 356709'],5,4FDu7nqjF1HhsTjxRThFUg
159,26978,Don Giovanni,Don Giovanni,Mariusz Kwiecien,2017-04-26,['[Met Performance] 356704'],5,4FDu7nqjF1HhsTjxRThFUg
160,26690,Eugene Onegin,Eugene Onegin,Mariusz Kwiecien,2017-04-07,['[Met Performance] 356685'],5,4FDu7nqjF1HhsTjxRThFUg
161,26648,Eugene Onegin,Eugene Onegin,Mariusz Kwiecien,2017-04-03,['[Met Performance] 356680'],5,4FDu7nqjF1HhsTjxRThFUg
162,26606,Eugene Onegin,Eugene Onegin,Mariusz Kwiecien,2017-03-30,['[Met Performance] 356676'],5,4FDu7nqjF1HhsTjxRThFUg
163,24374,Duke of Nottingham,Roberto Devereux,Mariusz Kwiecien,2016-04-19,['[Met Performance] 356438'],5,4FDu7nqjF1HhsTjxRThFUg
164,24342,Duke of Nottingham,Roberto Devereux,Mariusz Kwiecien,2016-04-16,['[Met Performance] 356435'],5,4FDu7nqjF1HhsTjxRThFUg
165,24251,Duke of Nottingham,Roberto Devereux,Mariusz Kwiecien,2016-04-08,['[Met Performance] 356422'],5,4FDu7nqjF1HhsTjxRThFUg
166,24214,Duke of Nottingham,Roberto Devereux,Mariusz Kwiecien,2016-04-04,['[Met Performance] 356416'],5,4FDu7nqjF1HhsTjxRThFUg
167,24177,Duke of Nottingham,Roberto Devereux,Mariusz Kwiecien,2016-03-31,['[Met Performance] 356409'],5,4FDu7nqjF1HhsTjxRThFUg
168,24143,Duke of Nottingham,Roberto Devereux,Mariusz Kwiecien,2016-03-28,['[Met Performance] 356403'],5,4FDu7nqjF1HhsTjxRThFUg
169,24102,Duke of Nottingham,Roberto Devereux,Mariusz Kwiecien,2016-03-24,['[Met Performance] 356398'],5,4FDu7nqjF1HhsTjxRThFUg
170,23530,Zurga,Les Pêcheurs de Perles,Mariusz Kwiecien,2016-02-04,['[Met Performance] 356293'],5,4FDu7nqjF1HhsTjxRThFUg
171,23484,Zurga,Les Pêcheurs de Perles,Mariusz Kwiecien,2016-01-30,['[Met Performance] 356282'],5,4FDu7nqjF1HhsTjxRThFUg
172,23460,Zurga,Les Pêcheurs de Perles,Mariusz Kwiecien,2016-01-27,['[Met Performance] 356277'],5,4FDu7nqjF1HhsTjxRThFUg
173,23402,Zurga,Les Pêcheurs de Perles,Mariusz Kwiecien,2016-01-20,['[Met Performance] 356265'],5,4FDu7nqjF1HhsTjxRThFUg
174,23374,Zurga,Les Pêcheurs de Perles,Mariusz Kwiecien,2016-01-16,['[Met Performance] 356256'],5,4FDu7nqjF1HhsTjxRThFUg
175,23335,Zurga,Les Pêcheurs de Perles,Mariusz Kwiecien,2016-01-12,['[Met Performance] 356247'],5,4FDu7nqjF1HhsTjxRThFUg
176,23300,Zurga,Les Pêcheurs de Perles,Mariusz Kwiecien,2016-01-08,['[Met Performance] 356243'],5,4FDu7nqjF1HhsTjxRThFUg
177,23267,Zurga,Les Pêcheurs de Perles,Mariusz Kwiecien,2016-01-04,['[Met Performance] 356233'],5,4FDu7nqjF1HhsTjxRThFUg
178,23232,Zurga,Les Pêcheurs de Perles,Mariusz Kwiecien,2015-12-31,['[Met Performance] 356215'],5,4FDu7nqjF1HhsTjxRThFUg
179,20814,Marcello,La Bohème,Mariusz Kwiecien,2015-01-24,['[Met Performance] 355767'],5,4FDu7nqjF1HhsTjxRThFUg
180,20722,Marcello,La Bohème,Mariusz Kwiecien,2015-01-19,['[Met Performance] 355753'],5,4FDu7nqjF1HhsTjxRThFUg
181,20653,Marcello,La Bohème,Mariusz Kwiecien,2015-01-15,['[Met Performance] 355748'],5,4FDu7nqjF1HhsTjxRThFUg
182,20320,Count Almaviva,Le Nozze di Figaro,Mariusz Kwiecien,2014-12-20,['[Met Performance] 355700'],5,4FDu7nqjF1HhsTjxRThFUg
183,20240,Count Almaviva,Le Nozze di Figaro,Mariusz Kwiecien,2014-12-15,['[Met Performance] 355687'],5,4FDu7nqjF1HhsTjxRThFUg
184,20200,Count Almaviva,Le Nozze di Figaro,Mariusz Kwiecien,2014-12-12,['[Met Performance] 355684'],5,4FDu7nqjF1HhsTjxRThFUg
185,20147,Count Almaviva,Le Nozze di Figaro,Mariusz Kwiecien,2014-12-08,['[Met Performance] 355665'],5,4FDu7nqjF1HhsTjxRThFUg
186,20098,Count Almaviva,Le Nozze di Figaro,Mariusz Kwiecien,2014-12-04,['[Met Performance] 355667'],5,4FDu7nqjF1HhsTjxRThFUg
